ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Source,District,Village,DataType,List_ID,SubGroup
Laka1,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.75705,47.88114,East-Caucasian,chechuroFieldData,Khiv,Laka,Speaker,90,Lezgic
Laka2,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.75705,47.88114,East-Caucasian,chechuroFieldData,Khiv,Laka,Speaker,91,Lezgic
Laka3,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.75705,47.88114,East-Caucasian,chechuroFieldData,Khiv,Laka,Speaker,92,Lezgic
Laka4,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.75705,47.88114,East-Caucasian,chechuroFieldData,Khiv,Laka,Speaker,93,Lezgic
Laka5,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.75705,47.88114,East-Caucasian,chechuroFieldData,Khiv,Laka,Speaker,94,Lezgic
Laka6,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.75705,47.88114,East-Caucasian,chechuroFieldData,Khiv,Laka,Speaker,95,Lezgic
Mikik1,Tsakhur,tsak1249,Tsakhur,tkr,Eurasia,41.63753,47.16822,East-Caucasian,chechuroFieldData,Rutul,Mikik,Speaker,98,Lezgic
Mikik2,Tsakhur,tsak1249,Tsakhur,tkr,Eurasia,41.63753,47.16822,East-Caucasian,chechuroFieldData,Rutul,Mikik,Speaker,99,Lezgic
Qax2,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,41.41944,46.91806,Altaic,chechuroFieldData,Qax,Qax,Speaker,101,Turkic
Qax3,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,41.41944,46.91806,Altaic,chechuroFieldData,Qax,Qax,Speaker,102,Turkic
Qax7,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,41.41944,46.91806,Altaic,chechuroFieldData,Qax,Qax,Speaker,106,Turkic
Qax9,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,41.41944,46.91806,Altaic,chechuroFieldData,Qax,Qax,Speaker,108,Turkic
Tatil1,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.99269,47.98826,East-Caucasian,chechuroFieldData,Tabasaran,Tatil’,Speaker,115,Lezgic
Tatil2,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.99269,47.98826,East-Caucasian,chechuroFieldData,Tabasaran,Tatil’,Speaker,116,Lezgic
Tatil3,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.99269,47.98826,East-Caucasian,chechuroFieldData,Tabasaran,Tatil’,Speaker,117,Lezgic
Tatil4,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.99269,47.98826,East-Caucasian,chechuroFieldData,Tabasaran,Tatil’,Speaker,118,Lezgic
Tatil5,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.99269,47.98826,East-Caucasian,chechuroFieldData,Tabasaran,Tatil’,Speaker,119,Lezgic
Tsinit1,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.72324,48.00882,East-Caucasian,chechuroFieldData,Khiv,Tsinit,Speaker,121,Lezgic
Tsinit2,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.72324,48.00882,East-Caucasian,chechuroFieldData,Khiv,Tsinit,Speaker,122,Lezgic
Tsinit4,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.72324,48.00882,East-Caucasian,chechuroFieldData,Khiv,Tsinit,Speaker,124,Lezgic
Tsinit5,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.72324,48.00882,East-Caucasian,chechuroFieldData,Khiv,Tsinit,Speaker,125,Lezgic
Yagdyg2,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.980115,47.970578,East-Caucasian,chechuroFieldData,Tabasaran,Yagdyg,Speaker,128,Lezgic
Yagdyg3,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.980115,47.970578,East-Caucasian,chechuroFieldData,Tabasaran,Yagdyg,Speaker,129,Lezgic
Yagdyg4,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.980115,47.970578,East-Caucasian,chechuroFieldData,Tabasaran,Yagdyg,Speaker,130,Lezgic
Yagdyg5,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.980115,47.970578,East-Caucasian,chechuroFieldData,Tabasaran,Yagdyg,Speaker,131,Lezgic
Yagdyg6,Tabasaran,taba1259,Tabasaran,tab,Eurasia,41.980115,47.970578,East-Caucasian,chechuroFieldData,Tabasaran,Yagdyg,Speaker,132,Lezgic
Yersi1,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,42.018844,48.012897,Altaic,chechuroFieldData,Tabasaran,Yersi,Speaker,133,Turkic
Yersi2,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,42.018844,48.012897,Altaic,chechuroFieldData,Tabasaran,Yersi,Speaker,134,Turkic
Yersi3,Azerbaijani,nort2697,North Azerbaijani,azj,Eurasia,42.018844,48.012897,Altaic,chechuroFieldData,Tabasaran,Yersi,Speaker,135,Turkic
Kusur1,Avar,avar1256,Avar,ava,Eurasia,41.4658,46.5641,East-Caucasian,chechuroFieldData,Rutul,Kusur,Speaker,147,Avar
E_Arabic,Arabic,egyp1253,Egyptian Arabic,arz,Africa,31,31,Afro-Asiatic,bulakhPC,Expert,Expert,Expert,149,Semitic
E_Persian,Persian,west2369,Western Farsi,pes,Eurasia,28.65928,55.15861,Indo-European,armandPC,Expert,Expert,Expert,153,Iranian
Kurdul1,Tsakhur,tsak1249,Tsakhur,tkr,Eurasia,41.581482,47.17811,East-Caucasian,chechuroFieldData,Rutul,Kurdul,Speaker,162,Lezgic
Kurdul2,Tsakhur,tsak1249,Tsakhur,tkr,Eurasia,41.581482,47.17811,East-Caucasian,chechuroFieldData,Rutul,Kurdul,Speaker,163,Lezgic
Kurdul3,Tsakhur,tsak1249,Tsakhur,tkr,Eurasia,41.581482,47.17811,East-Caucasian,chechuroFieldData,Rutul,Kurdul,Speaker,164,Lezgic
Fiy1,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.285241,47.565016,East-Caucasian,chechuroFieldData,Akhty,Fiy,Speaker,165,Lezgic
Fiy2,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.285241,47.565016,East-Caucasian,chechuroFieldData,Akhty,Fiy,Speaker,166,Lezgic
Gdym1,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.310094,47.468052,East-Caucasian,chechuroFieldData,Akhty,Gdym,Speaker,167,Lezgic
Gdym2,Lezgian,lezg1247,Lezgian,lez,Eurasia,41.310094,47.468052,East-Caucasian,chechuroFieldData,Akhty,Gdym,Speaker,168,Lezgic
Khnov1,Rutul,rutu1240,Rutul,rut,Eurasia,41.378933,47.442273,East-Caucasian,chechuroFieldData,Akhty,Khnov,Speaker,169,Lezgic
Khnov2,Rutul,rutu1240,Rutul,rut,Eurasia,41.378933,47.442273,East-Caucasian,chechuroFieldData,Akhty,Khnov,Speaker,170,Lezgic
Khnov3,Rutul,rutu1240,Rutul,rut,Eurasia,41.378933,47.442273,East-Caucasian,chechuroFieldData,Akhty,Khnov,Speaker,171,Lezgic
Kina4,Rutul,rutu1240,Rutul,rut,Eurasia,41.6166,47.2647,East-Caucasian,chechuroFieldData,Rutul,Kina,Speaker,172,Lezgic
Kina5,Rutul,rutu1240,Rutul,rut,Eurasia,41.6166,47.2647,East-Caucasian,chechuroFieldData,Rutul,Kina,Speaker,173,Lezgic
Kina3a,Rutul,rutu1240,Rutul,rut,Eurasia,41.6166,47.2647,East-Caucasian,chechuroFieldData,Rutul,Kina,Speaker,174,Lezgic
Kina2a,Rutul,rutu1240,Rutul,rut,Eurasia,41.6166,47.2647,East-Caucasian,chechuroFieldData,Rutul,Kina,Speaker,175,Lezgic
Kina1a,Rutul,rutu1240,Rutul,rut,Eurasia,41.6166,47.2647,East-Caucasian,chechuroFieldData,Rutul,Kina,Speaker,176,Lezgic
