List_ID	DataType	ID	Name	Family	SubGroup	Glottocode	Village	Latitude	Longitude	District	Source
33	Speaker	Dyubek1	Tabasaran	East-Caucasian	Lezgic	taba1259	Dyubek	42.0208	47.969528	Tabasaran	chechurofielddata
34	Speaker	Dyubek2	Tabasaran	East-Caucasian	Lezgic	taba1259	Dyubek	42.0208	47.969528	Tabasaran	chechurofielddata
35	Speaker	Dyubek3	Tabasaran	East-Caucasian	Lezgic	taba1259	Dyubek	42.0208	47.969528	Tabasaran	chechurofielddata
36	Speaker	Dyubek4	Tabasaran	East-Caucasian	Lezgic	taba1259	Dyubek	42.0208	47.969528	Tabasaran	chechurofielddata
45	Speaker	Gelmets1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Gelmets	41.62466	47.17889	Rutul	chechurofielddata
46	Speaker	Gelmets2	Tsakhur	East-Caucasian	Lezgic	tsak1249	Gelmets	41.62466	47.17889	Rutul	chechurofielddata
47	Speaker	Gelmets3	Tsakhur	East-Caucasian	Lezgic	tsak1249	Gelmets	41.62466	47.17889	Rutul	chechurofielddata
51	Speaker	Ikhrek4	Rutul	East-Caucasian	Lezgic	rutu1240	Ikhrek	41.693931	47.210005	Rutul	chechurofielddata
52	Speaker	Ilisu1	Azerbaijani	Altaic	Turkic	nort2697	Ilisu	41.46694	47.05917	Qax	chechurofielddata
57	Speaker	Khapil1	Tabasaran	East-Caucasian	Lezgic	taba1259	Khapil’	41.98722	47.97731	Tabasaran	chechurofielddata
58	Speaker	Khapil2	Tabasaran	East-Caucasian	Lezgic	taba1259	Khapil’	41.98722	47.97731	Tabasaran	chechurofielddata
59	Speaker	Khapil3	Tabasaran	East-Caucasian	Lezgic	taba1259	Khapil’	41.98722	47.97731	Tabasaran	chechurofielddata
60	Speaker	Khapil4	Tabasaran	East-Caucasian	Lezgic	taba1259	Khapil’	41.98722	47.97731	Tabasaran	chechurofielddata
61	Speaker	Khapil5	Tabasaran	East-Caucasian	Lezgic	taba1259	Khapil’	41.98722	47.97731	Tabasaran	chechurofielddata
62	Speaker	Khiv1	Tabasaran	East-Caucasian	Lezgic	taba1259	Khiv	41.7533	47.9286	Khiv	chechurofielddata
63	Speaker	Khiv2	Tabasaran	East-Caucasian	Lezgic	taba1259	Khiv	41.7533	47.9286	Khiv	chechurofielddata
64	Speaker	Khiv3	Tabasaran	East-Caucasian	Lezgic	taba1259	Khiv	41.7533	47.9286	Khiv	chechurofielddata
65	Speaker	Khiv4	Tabasaran	East-Caucasian	Lezgic	taba1259	Khiv	41.7533	47.9286	Khiv	chechurofielddata
66	Speaker	Khlyut1	Lezgian	East-Caucasian	Lezgic	lezg1247	Khlyut	41.496274	47.533824	Rutul	chechurofielddata
67	Speaker	Khlyut2	Lezgian	East-Caucasian	Lezgic	lezg1247	Khlyut	41.496274	47.533824	Rutul	chechurofielddata
68	Speaker	Khlyut3	Lezgian	East-Caucasian	Lezgic	lezg1247	Khlyut	41.496274	47.533824	Rutul	chechurofielddata
69	Speaker	Khlyut4	Lezgian	East-Caucasian	Lezgic	lezg1247	Khlyut	41.496274	47.533824	Rutul	chechurofielddata
70	Speaker	Khlyut5	Lezgian	East-Caucasian	Lezgic	lezg1247	Khlyut	41.496274	47.533824	Rutul	chechurofielddata
71	Speaker	Khoredzh1	Tabasaran	East-Caucasian	Lezgic	taba1259	Khoredzh	41.74914	47.8667	Khiv	chechurofielddata
72	Speaker	Khoredzh2	Tabasaran	East-Caucasian	Lezgic	taba1259	Khoredzh	41.74914	47.8667	Khiv	chechurofielddata
74	Speaker	Khoredzh4	Tabasaran	East-Caucasian	Lezgic	taba1259	Khoredzh	41.74914	47.8667	Khiv	chechurofielddata
75	Speaker	Khoredzh5	Tabasaran	East-Caucasian	Lezgic	taba1259	Khoredzh	41.74914	47.8667	Khiv	chechurofielddata
76	Speaker	Khoredzh6	Tabasaran	East-Caucasian	Lezgic	taba1259	Khoredzh	41.74914	47.8667	Khiv	chechurofielddata
81	Speaker	Kiche1	Rutul	East-Caucasian	Lezgic	rutu1240	Kiche	41.53146	47.48171	Rutul	chechurofielddata
82	Speaker	Kiche2	Rutul	East-Caucasian	Lezgic	rutu1240	Kiche	41.53146	47.48171	Rutul	chechurofielddata
90	Speaker	Laka1	Tabasaran	East-Caucasian	Lezgic	taba1259	Laka	41.75705	47.88114	Khiv	chechurofielddata
91	Speaker	Laka2	Tabasaran	East-Caucasian	Lezgic	taba1259	Laka	41.75705	47.88114	Khiv	chechurofielddata
92	Speaker	Laka3	Tabasaran	East-Caucasian	Lezgic	taba1259	Laka	41.75705	47.88114	Khiv	chechurofielddata
93	Speaker	Laka4	Tabasaran	East-Caucasian	Lezgic	taba1259	Laka	41.75705	47.88114	Khiv	chechurofielddata
94	Speaker	Laka5	Tabasaran	East-Caucasian	Lezgic	taba1259	Laka	41.75705	47.88114	Khiv	chechurofielddata
95	Speaker	Laka6	Tabasaran	East-Caucasian	Lezgic	taba1259	Laka	41.75705	47.88114	Khiv	chechurofielddata
98	Speaker	Mikik1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Mikik	41.63753	47.16822	Rutul	chechurofielddata
99	Speaker	Mikik2	Tsakhur	East-Caucasian	Lezgic	tsak1249	Mikik	41.63753	47.16822	Rutul	chechurofielddata
101	Speaker	Qax2	Azerbaijani	Altaic	Turkic	nort2697	Qax	41.41944	46.91806	Qax	chechurofielddata
102	Speaker	Qax3	Azerbaijani	Altaic	Turkic	nort2697	Qax	41.41944	46.91806	Qax	chechurofielddata
106	Speaker	Qax7	Azerbaijani	Altaic	Turkic	nort2697	Qax	41.41944	46.91806	Qax	chechurofielddata
108	Speaker	Qax9	Azerbaijani	Altaic	Turkic	nort2697	Qax	41.41944	46.91806	Qax	chechurofielddata
115	Speaker	Tatil1	Tabasaran	East-Caucasian	Lezgic	taba1259	Tatil’	41.99269	47.98826	Tabasaran	chechurofielddata
116	Speaker	Tatil2	Tabasaran	East-Caucasian	Lezgic	taba1259	Tatil’	41.99269	47.98826	Tabasaran	chechurofielddata
117	Speaker	Tatil3	Tabasaran	East-Caucasian	Lezgic	taba1259	Tatil’	41.99269	47.98826	Tabasaran	chechurofielddata
118	Speaker	Tatil4	Tabasaran	East-Caucasian	Lezgic	taba1259	Tatil’	41.99269	47.98826	Tabasaran	chechurofielddata
119	Speaker	Tatil5	Tabasaran	East-Caucasian	Lezgic	taba1259	Tatil’	41.99269	47.98826	Tabasaran	chechurofielddata
121	Speaker	Tsinit1	Lezgian	East-Caucasian	Lezgic	lezg1247	Tsinit	41.72324	48.00882	Khiv	chechurofielddata
122	Speaker	Tsinit2	Lezgian	East-Caucasian	Lezgic	lezg1247	Tsinit	41.72324	48.00882	Khiv	chechurofielddata
124	Speaker	Tsinit4	Lezgian	East-Caucasian	Lezgic	lezg1247	Tsinit	41.72324	48.00882	Khiv	chechurofielddata
125	Speaker	Tsinit5	Lezgian	East-Caucasian	Lezgic	lezg1247	Tsinit	41.72324	48.00882	Khiv	chechurofielddata
128	Speaker	Yagdyg2	Tabasaran	East-Caucasian	Lezgic	taba1259	Yagdyg	41.980115	47.970578	Tabasaran	chechurofielddata
129	Speaker	Yagdyg3	Tabasaran	East-Caucasian	Lezgic	taba1259	Yagdyg	41.980115	47.970578	Tabasaran	chechurofielddata
130	Speaker	Yagdyg4	Tabasaran	East-Caucasian	Lezgic	taba1259	Yagdyg	41.980115	47.970578	Tabasaran	chechurofielddata
131	Speaker	Yagdyg5	Tabasaran	East-Caucasian	Lezgic	taba1259	Yagdyg	41.980115	47.970578	Tabasaran	chechurofielddata
132	Speaker	Yagdyg6	Tabasaran	East-Caucasian	Lezgic	taba1259	Yagdyg	41.980115	47.970578	Tabasaran	chechurofielddata
133	Speaker	Yersi1	Azerbaijani	Altaic	Turkic	nort2697	Yersi	42.018844	48.012897	Tabasaran	chechurofielddata
134	Speaker	Yersi2	Azerbaijani	Altaic	Turkic	nort2697	Yersi	42.018844	48.012897	Tabasaran	chechurofielddata
135	Speaker	Yersi3	Azerbaijani	Altaic	Turkic	nort2697	Yersi	42.018844	48.012897	Tabasaran	chechurofielddata
147	Speaker	Kusur1	Avar	East-Caucasian	Avar	avar1256	Kusur	41.4658	46.5641	Rutul	chechurofielddata
149	Expert	E_Arabic	Arabic	Afro-Asiatic	Semitic	egyp1253	Expert	31	31	Expert	bulakhpc
153	Expert	E_Persian	Persian	Indo-European	Iranian	west2369	Expert	28.65928	55.15861	Expert	armandpc
162	Speaker	Kurdul1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Kurdul	41.581482	47.17811	Rutul	chechurofielddata
163	Speaker	Kurdul2	Tsakhur	East-Caucasian	Lezgic	tsak1249	Kurdul	41.581482	47.17811	Rutul	chechurofielddata
164	Speaker	Kurdul3	Tsakhur	East-Caucasian	Lezgic	tsak1249	Kurdul	41.581482	47.17811	Rutul	chechurofielddata
165	Speaker	Fiy1	Lezgian	East-Caucasian	Lezgic	lezg1247	Fiy	41.285241	47.565016	Akhty	chechurofielddata
166	Speaker	Fiy2	Lezgian	East-Caucasian	Lezgic	lezg1247	Fiy	41.285241	47.565016	Akhty	chechurofielddata
167	Speaker	Gdym1	Lezgian	East-Caucasian	Lezgic	lezg1247	Gdym	41.310094	47.468052	Akhty	chechurofielddata
168	Speaker	Gdym2	Lezgian	East-Caucasian	Lezgic	lezg1247	Gdym	41.310094	47.468052	Akhty	chechurofielddata
169	Speaker	Khnov1	Rutul	East-Caucasian	Lezgic	rutu1240	Khnov	41.378933	47.442273	Akhty	chechurofielddata
170	Speaker	Khnov2	Rutul	East-Caucasian	Lezgic	rutu1240	Khnov	41.378933	47.442273	Akhty	chechurofielddata
171	Speaker	Khnov3	Rutul	East-Caucasian	Lezgic	rutu1240	Khnov	41.378933	47.442273	Akhty	chechurofielddata
172	Speaker	Kina4	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	41.6166	47.2647	Rutul	chechurofielddata
173	Speaker	Kina5	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	41.6166	47.2647	Rutul	chechurofielddata
174	Speaker	Kina3a	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	41.6166	47.2647	Rutul	chechurofielddata
175	Speaker	Kina2a	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	41.6166	47.2647	Rutul	chechurofielddata
176	Speaker	Kina1a	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	41.6166	47.2647	Rutul	chechurofielddata
